fips,year,size
23019,2000,144907
23021,2000,17244
23023,2000,35225
23025,2000,50893
23027,2000,36468
23029,2000,33886
23031,2000,188076
24001,2000,74804
24003,2000,491394
24005,2000,756037
24009,2000,75163
24011,2000,29828
24013,2000,151580
24015,2000,86464
24017,2000,121203
24019,2000,30586
24021,2000,196522
24023,2000,29824
24025,2000,219472
24027,2000,249599
24029,2000,19266
24031,2000,877363
24033,2000,803189
24035,2000,40765
24037,2000,86521
24039,2000,24718
24041,2000,33890
24043,2000,132101
24045,2000,84864
24047,2000,46772
24510,2000,648654
25001,2000,223245
25003,2000,134787
25005,2000,536008
25007,2000,15072
25009,2000,725379
25011,2000,71499
25013,2000,456573
25015,2000,152381
25017,2000,1468934
25019,2000,9574
25021,2000,651227
25023,2000,474414
25025,2000,691238
25027,2000,752684
26001,2000,11709
26003,2000,9827
26005,2000,106048
26007,2000,31276
26009,2000,23258
26011,2000,17263
26013,2000,8872
26015,2000,56903
26017,2000,110091
26019,2000,16106
26021,2000,162556
26023,2000,45874
26025,2000,138021
26027,2000,51118
26029,2000,26172
26031,2000,26570
26033,2000,38599
26035,2000,31381
26037,2000,64940
26039,2000,14346
26041,2000,38547
26043,2000,27481
26045,2000,103935
26047,2000,31561
26049,2000,436885
26051,2000,26118
26053,2000,17203
26055,2000,78029
26057,2000,42473
26059,2000,46672
26061,2000,35950
26063,2000,36024
26065,2000,279668
26067,2000,61679
26069,2000,27324
26071,2000,13109
26073,2000,63421
26075,2000,158735
26077,2000,239046
26079,2000,16632
26081,2000,576507
26083,2000,2310
26085,2000,11372
26087,2000,88302
26089,2000,21262
26091,2000,99070
26093,2000,158439
26095,2000,7006
26097,2000,11925
26099,2000,790821
26101,2000,24629
26103,2000,64597
26105,2000,28363
26107,2000,40655
26109,2000,25286
26111,2000,82994
26113,2000,14544
26115,2000,146412
26117,2000,61488
26119,2000,10374
26121,2000,170485
26123,2000,48003
26125,2000,1196417
26127,2000,26940
26129,2000,21692
26131,2000,7801
26133,2000,23231
26135,2000,9410
26137,2000,23423
26139,2000,239490
26141,2000,14371
26143,2000,25527
26145,2000,209931
26147,2000,164734
26149,2000,62518
26151,2000,44530
26153,2000,8922
26155,2000,71707
26157,2000,58273
26159,2000,76352
26161,2000,324491
26163,2000,2058758
26165,2000,30524
27001,2000,15349
27003,2000,299775
27005,2000,30066
27007,2000,39799
27009,2000,34502
27011,2000,5782
27013,2000,55947
27015,2000,26876
27017,2000,31723
27019,2000,70860
27021,2000,27277
27023,2000,13066
27025,2000,41539
27027,2000,51291
27029,2000,8376
27031,2000,5190
27033,2000,12135
27035,2000,55311
27037,2000,357906
27039,2000,17854
27041,2000,32919
27043,2000,16146
27045,2000,21157
27047,2000,32542
27049,2000,44155
27051,2000,6271
27053,2000,1118227
27055,2000,19735
27057,2000,18418
27059,2000,31515
27061,2000,44010
27063,2000,11234
27065,2000,15045
27067,2000,41144
27069,2000,5255
27071,2000,14295
27073,2000,8048
27075,2000,11064
27077,2000,4501
27079,2000,25483
27081,2000,6400
27083,2000,25439
27085,2000,34863
27087,2000,5172
27089,2000,10122
27091,2000,21772
27093,2000,22694
27095,2000,22448
27097,2000,31793
27099,2000,38673
27101,2000,9143
27103,2000,29903
27105,2000,20777
27107,2000,7422
27109,2000,124919
27111,2000,57151
27113,2000,13543
27115,2000,26663
27117,2000,9849
27119,2000,31378
27121,2000,11246
27123,2000,511587
27125,2000,4284
27127,2000,16757
27129,2000,17136
27131,2000,56812
27133,2000,9703
27135,2000,16309
27137,2000,200478
27139,2000,91081
27141,2000,65267
27143,2000,15354
27145,2000,133543
27147,2000,33805
27149,2000,10022
27151,2000,11923
27153,2000,24408
27155,2000,4120
27157,2000,21654
27159,2000,13719
27161,2000,19517
27163,2000,202547
27165,2000,11822
27167,2000,7119
27169,2000,50037
27171,2000,90751
27173,2000,11045
28001,2000,34214
28003,2000,34606
28005,2000,13578
28007,2000,19643
28009,2000,8024
28011,2000,40470
28013,2000,15052
28015,2000,10773
28017,2000,19408
28019,2000,9748
28021,2000,11823
28023,2000,17937
28025,2000,21972
28027,2000,30550
28029,2000,28761
28031,2000,19460
28033,2000,108666
28035,2000,72814
28037,2000,8451
28039,2000,19195
28041,2000,13305
28043,2000,23191
28045,2000,43272
28047,2000,189878
28049,2000,250600
28051,2000,21588
28053,2000,11134
28055,2000,2267
28057,2000,22848
28059,2000,131839
28061,2000,18131
28063,2000,9704
28065,2000,13870
28067,2000,64999
28069,2000,10426
28071,2000,38764
28073,2000,39335
28075,2000,78082
28077,2000,13281
28079,2000,20931
28081,2000,75960
28083,2000,37833
28085,2000,33149
28087,2000,61503
28089,2000,75063
28091,2000,25586
28093,2000,35050
28095,2000,38001
28097,2000,12124
28099,2000,28715
28101,2000,21851
28103,2000,12543
28105,2000,43041
28107,2000,34412
28109,2000,48766
28111,2000,12176
28113,2000,38982
28115,2000,26776
28117,2000,25592
28119,2000,10055
28121,2000,116172
28123,2000,28408
28125,2000,6538
28127,2000,27656
28129,2000,16187
28131,2000,13688
28133,2000,34232
28135,2000,14866
28137,2000,25442
28139,2000,20863
28141,2000,19159
28143,2000,9220
28145,2000,25514
28147,2000,15102
28149,2000,49581
28151,2000,62685
28153,2000,21196
28155,2000,10287
28157,2000,10291
28159,2000,20166
28161,2000,13161
28163,2000,28128
29001,2000,24961
29003,2000,16530
29005,2000,6405
29007,2000,25807
29009,2000,34050
29011,2000,12541
29013,2000,16703
29015,2000,17233
29017,2000,12053
29019,2000,135846
29021,2000,86094
29023,2000,40799
29025,2000,8977
29027,2000,40925
29029,2000,37228
29031,2000,68792
29033,2000,10275
29035,2000,5945
29037,2000,82603
29039,2000,13733
29041,2000,8409
29043,2000,54951
29045,2000,7389
29047,2000,184820
29049,2000,19031
29051,2000,71479
29053,2000,16702
29055,2000,22830
29057,2000,7906
29059,2000,15689
29061,2000,7995
29063,2000,13108
29065,2000,14934
29067,2000,13099
29069,2000,33108
29071,2000,94059
29073,2000,15370
29075,2000,6850
29077,2000,240814
29079,2000,10415
29081,2000,8864
29083,2000,22089
29085,2000,8942
29087,2000,5323
29089,2000,10180
29091,2000,37232
29093,2000,10632
29095,2000,655773
29097,2000,105012
29099,2000,198740
29101,2000,48481
29103,2000,4355
29105,2000,32589
29107,2000,33019
29109,2000,35325
29111,2000,10501
29113,2000,39254
29115,2000,13722
29117,2000,14497
29119,2000,21669
29121,2000,15738
29123,2000,11801
29125,2000,8896
29127,2000,28309
29129,2000,3756
29131,2000,23629
29133,2000,13362
29135,2000,14835
29137,2000,9323
29139,2000,12130
29141,2000,19366
29143,2000,19665
29145,2000,52706
29147,2000,21875
29149,2000,10332
29151,2000,13081
29153,2000,9529
29155,2000,20015
29157,2000,18136
29159,2000,39441
