STNAME,CTYNAME,STCODE,CTYCODE,year,cases
Georgia,Calhoun County,13,37,Cases2000,0
Georgia,Camden County,13,39,Cases2000,0
Georgia,Candler County,13,43,Cases2000,0
Georgia,Carroll County,13,45,Cases2000,0
Georgia,Catoosa County,13,47,Cases2000,0
Georgia,Charlton County,13,49,Cases2000,0
Georgia,Chatham County,13,51,Cases2000,0
Georgia,Chattahoochee County,13,53,Cases2000,0
Georgia,Chattooga County,13,55,Cases2000,0
Georgia,Cherokee County,13,57,Cases2000,0
Georgia,Clarke County,13,59,Cases2000,0
Georgia,Clay County,13,61,Cases2000,0
Georgia,Clayton County,13,63,Cases2000,0
Georgia,Clinch County,13,65,Cases2000,0
Georgia,Cobb County,13,67,Cases2000,0
Georgia,Coffee County,13,69,Cases2000,0
Georgia,Colquitt County,13,71,Cases2000,0
Georgia,Columbia County,13,73,Cases2000,0
Georgia,Cook County,13,75,Cases2000,0
Georgia,Coweta County,13,77,Cases2000,0
Georgia,Crawford County,13,79,Cases2000,0
Georgia,Crisp County,13,81,Cases2000,0
Georgia,Dade County,13,83,Cases2000,0
Georgia,Dawson County,13,85,Cases2000,0
Georgia,Decatur County,13,87,Cases2000,0
Georgia,DeKalb County,13,89,Cases2000,0
Georgia,Dodge County,13,91,Cases2000,0
Georgia,Dooly County,13,93,Cases2000,0
Georgia,Dougherty County,13,95,Cases2000,0
Georgia,Douglas County,13,97,Cases2000,0
Georgia,Early County,13,99,Cases2000,0
Georgia,Echols County,13,101,Cases2000,0
Georgia,Effingham County,13,103,Cases2000,0
Georgia,Elbert County,13,105,Cases2000,0
Georgia,Emanuel County,13,107,Cases2000,0
Georgia,Evans County,13,109,Cases2000,0
Georgia,Fannin County,13,111,Cases2000,0
Georgia,Fayette County,13,113,Cases2000,0
Georgia,Floyd County,13,115,Cases2000,0
Georgia,Forsyth County,13,117,Cases2000,0
Georgia,Franklin County,13,119,Cases2000,0
Georgia,Fulton County,13,121,Cases2000,0
Georgia,Gilmer County,13,123,Cases2000,0
Georgia,Glascock County,13,125,Cases2000,0
Georgia,Glynn County,13,127,Cases2000,0
Georgia,Gordon County,13,129,Cases2000,0
Georgia,Grady County,13,131,Cases2000,0
Georgia,Greene County,13,133,Cases2000,0
Georgia,Gwinnett County,13,135,Cases2000,0
Georgia,Habersham County,13,137,Cases2000,0
Georgia,Hall County,13,139,Cases2000,0
Georgia,Hancock County,13,141,Cases2000,0
Georgia,Haralson County,13,143,Cases2000,0
Georgia,Harris County,13,145,Cases2000,0
Georgia,Hart County,13,147,Cases2000,0
Georgia,Heard County,13,149,Cases2000,0
Georgia,Henry County,13,151,Cases2000,0
Georgia,Houston County,13,153,Cases2000,0
Georgia,Irwin County,13,155,Cases2000,0
Georgia,Jackson County,13,157,Cases2000,0
Georgia,Jasper County,13,159,Cases2000,0
Georgia,Jeff Davis County,13,161,Cases2000,0
Georgia,Jefferson County,13,163,Cases2000,0
Georgia,Jenkins County,13,165,Cases2000,0
Georgia,Johnson County,13,167,Cases2000,0
Georgia,Jones County,13,169,Cases2000,0
Georgia,Lamar County,13,171,Cases2000,0
Georgia,Lanier County,13,173,Cases2000,0
Georgia,Laurens County,13,175,Cases2000,0
Georgia,Lee County,13,177,Cases2000,0
Georgia,Liberty County,13,179,Cases2000,0
Georgia,Lincoln County,13,181,Cases2000,0
Georgia,Long County,13,183,Cases2000,0
Georgia,Lowndes County,13,185,Cases2000,0
Georgia,Lumpkin County,13,187,Cases2000,0
Georgia,McDuffie County,13,189,Cases2000,0
Georgia,McIntosh County,13,191,Cases2000,0
Georgia,Macon County,13,193,Cases2000,0
Georgia,Madison County,13,195,Cases2000,0
Georgia,Marion County,13,197,Cases2000,0
Georgia,Meriwether County,13,199,Cases2000,0
Georgia,Miller County,13,201,Cases2000,0
Georgia,Mitchell County,13,205,Cases2000,0
Georgia,Monroe County,13,207,Cases2000,0
Georgia,Montgomery County,13,209,Cases2000,0
Georgia,Morgan County,13,211,Cases2000,0
Georgia,Murray County,13,213,Cases2000,0
Georgia,Muscogee County,13,215,Cases2000,0
Georgia,Newton County,13,217,Cases2000,0
Georgia,Oconee County,13,219,Cases2000,0
Georgia,Oglethorpe County,13,221,Cases2000,0
Georgia,Paulding County,13,223,Cases2000,0
Georgia,Peach County,13,225,Cases2000,0
Georgia,Pickens County,13,227,Cases2000,0
Georgia,Pierce County,13,229,Cases2000,0
Georgia,Pike County,13,231,Cases2000,0
Georgia,Polk County,13,233,Cases2000,0
Georgia,Pulaski County,13,235,Cases2000,0
Georgia,Putnam County,13,237,Cases2000,0
Georgia,Quitman County,13,239,Cases2000,0
Georgia,Rabun County,13,241,Cases2000,0
Georgia,Randolph County,13,243,Cases2000,0
Georgia,Richmond County,13,245,Cases2000,0
Georgia,Rockdale County,13,247,Cases2000,0
Georgia,Schley County,13,249,Cases2000,0
Georgia,Screven County,13,251,Cases2000,0
Georgia,Seminole County,13,253,Cases2000,0
Georgia,Spalding County,13,255,Cases2000,0
Georgia,Stephens County,13,257,Cases2000,0
Georgia,Stewart County,13,259,Cases2000,0
Georgia,Sumter County,13,261,Cases2000,0
Georgia,Talbot County,13,263,Cases2000,0
Georgia,Taliaferro County,13,265,Cases2000,0
Georgia,Tattnall County,13,267,Cases2000,0
Georgia,Taylor County,13,269,Cases2000,0
Georgia,Telfair County,13,271,Cases2000,0
Georgia,Terrell County,13,273,Cases2000,0
Georgia,Thomas County,13,275,Cases2000,0
Georgia,Tift County,13,277,Cases2000,0
Georgia,Toombs County,13,279,Cases2000,0
Georgia,Towns County,13,281,Cases2000,0
Georgia,Treutlen County,13,283,Cases2000,0
Georgia,Troup County,13,285,Cases2000,0
Georgia,Turner County,13,287,Cases2000,0
Georgia,Twiggs County,13,289,Cases2000,0
Georgia,Union County,13,291,Cases2000,0
Georgia,Upson County,13,293,Cases2000,0
Georgia,Walker County,13,295,Cases2000,0
Georgia,Walton County,13,297,Cases2000,0
Georgia,Ware County,13,299,Cases2000,0
Georgia,Warren County,13,301,Cases2000,0
Georgia,Washington County,13,303,Cases2000,0
Georgia,Wayne County,13,305,Cases2000,0
Georgia,Webster County,13,307,Cases2000,0
Georgia,Wheeler County,13,309,Cases2000,0
Georgia,White County,13,311,Cases2000,0
Georgia,Whitfield County,13,313,Cases2000,0
Georgia,Wilcox County,13,315,Cases2000,0
Georgia,Wilkes County,13,317,Cases2000,0
Georgia,Wilkinson County,13,319,Cases2000,0
Georgia,Worth County,13,321,Cases2000,0
Georgia,Georgia,13,999,Cases2000,0
Hawaii,Hawaii County,15,1,Cases2000,0
Hawaii,Honolulu County,15,3,Cases2000,0
Hawaii,Kalawao County,15,5,Cases2000,0
Hawaii,Kauai County,15,7,Cases2000,0
Hawaii,Maui County,15,9,Cases2000,0
Hawaii,Hawaii,15,999,Cases2000,0
Idaho,Ada County,16,1,Cases2000,0
Idaho,Adams County,16,3,Cases2000,0
Idaho,Bannock County,16,5,Cases2000,0
Idaho,Bear Lake County,16,7,Cases2000,0
Idaho,Benewah County,16,9,Cases2000,0
