fips,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop20104,pop2010,pop2011,pop2012,pop2013,pop2014
01119,14748,14555,14143,13996,13869,13640,13471,13269,13102,12853,NA,NA,NA,NA,NA,NA
01119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13763,13748,13494,13411,13345,13166
01121,80338,80291,80247,79776,79746,79902,80124,80186,80495,80242,NA,NA,NA,NA,NA,NA
01121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82291,82067,81781,81858,81339,81322
01123,41743,41390,40947,40693,40605,40445,40719,40797,40920,41008,NA,NA,NA,NA,NA,NA
01123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41616,41490,41443,41156,41221,41165
01125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194656,195056,196697,198643,200744,202212
01125,165191,166110,166610,167484,169051,172060,176899,178998,181780,184035,NA,NA,NA,NA,NA,NA
01127,70680,70577,70097,69514,69153,69124,68978,68655,68903,68742,NA,NA,NA,NA,NA,NA
01127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67023,66991,66607,66125,65859,65471
01129,18112,17890,17795,17743,17579,17410,17369,17124,17088,17069,NA,NA,NA,NA,NA,NA
01129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17581,17601,17319,17088,16842,16834
01131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11670,11579,11510,11386,11262,11098
01131,12980,12908,12928,12781,12721,12642,12538,12580,12617,12384,NA,NA,NA,NA,NA,NA
01133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24484,24409,24348,24185,24187,24150
01133,24882,24546,24468,24350,24307,24236,24321,24326,24068,23997,NA,NA,NA,NA,NA,NA
02000,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473,NA,NA,NA,NA,NA,NA
02010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02013,2686,2461,2640,2677,2637,2637,2619,2818,2724,2744,NA,NA,NA,NA,NA,NA
02013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3141,3178,3267,3320,3351,3360
02016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5561,5551,5587,5671,5692,5750
02016,5435,5343,5170,5439,5464,5422,5019,4763,4604,4659,NA,NA,NA,NA,NA,NA
02020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291826,293337,296282,298633,301629,301010
02020,260586,263929,268163,271616,274852,276863,279935,278504,280471,286174,NA,NA,NA,NA,NA,NA
02050,16103,16247,16541,16699,16834,16997,17090,17100,17215,17352,NA,NA,NA,NA,NA,NA
02050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17013,17068,17453,17687,17806,17868
02060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997,1002,1038,984,955,957
02060,1230,1181,1136,1101,1093,1104,1038,997,956,881,NA,NA,NA,NA,NA,NA
02068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1826,1832,1869,1906,1933,1921
02068,1892,1840,1860,1863,1896,1835,1828,1805,1821,1851,NA,NA,NA,NA,NA,NA
02070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4847,4869,4969,4968,4988,4988
02070,4922,4866,4951,4877,4921,4938,4945,4963,4926,4957,NA,NA,NA,NA,NA,NA
02090,82769,85233,87329,89198,92301,94451,94803,97952,98351,98660,NA,NA,NA,NA,NA,NA
02090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97581,98174,98029,100227,100807,99357
02100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2508,2504,2572,2572,2569,2566
02100,2397,2321,2301,2309,2243,2232,2245,2315,2327,2399,NA,NA,NA,NA,NA,NA
02105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150,2149,2124,2140,2134,2082
02105,2561,2528,2463,2353,2294,2270,2228,2203,2182,2127,NA,NA,NA,NA,NA,NA
02110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31275,31386,32170,32411,32626,32406
02110,30668,30480,30717,30892,30978,30872,30681,30544,30991,30796,NA,NA,NA,NA,NA,NA
02122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55400,55566,56369,56958,57067,57477
02122,49648,50036,50822,50923,51321,51527,52179,53238,53651,54665,NA,NA,NA,NA,NA,NA
02130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13477,13536,13654,13709,13695,13787
02130,13983,13743,13540,13266,13122,13150,13302,13124,13081,13005,NA,NA,NA,NA,NA,NA
02150,13966,13717,13629,13303,13178,13050,13093,13074,13170,13346,NA,NA,NA,NA,NA,NA
02150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13592,13637,13807,14075,14115,13986
02164,1809,1693,1585,1574,1576,1557,1529,1525,1494,1485,NA,NA,NA,NA,NA,NA
02164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1631,1638,1656,1643,1662,1631
02170,59848,61910,64540,67515,71205,74988,79406,82404,85319,88379,NA,NA,NA,NA,NA,NA
02170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88995,89783,91858,93798,95892,97882
02180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9492,9543,9844,9873,9884,9817
02180,9171,9188,9185,9260,9397,9377,9293,9310,9326,9391,NA,NA,NA,NA,NA,NA
02185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9430,9467,9534,9655,9733,9703
02185,7369,7212,7149,7125,6942,6798,6675,6630,6725,6752,NA,NA,NA,NA,NA,NA
02188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7523,7531,7708,7709,7697,7717
02188,7219,7244,7234,7277,7363,7374,7438,7425,7467,7444,NA,NA,NA,NA,NA,NA
02195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3815,3209,3235,3241,3213,3160
02195,4248,4198,4087,3995,4051,3956,3876,3888,3816,3773,NA,NA,NA,NA,NA,NA
02198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559,6214,6379,6387,6402,6396
02198,6105,5902,5700,5684,5665,5588,5646,5531,5535,5560,NA,NA,NA,NA,NA,NA
02201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02220,8833,8725,8847,8845,8850,8929,8940,8728,8711,8747,NA,NA,NA,NA,NA,NA
02220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8881,8897,8913,9060,9014,8900
02230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968,965,960,994,1012,1036
02230,868,863,854,876,909,917,909,902,905,920,NA,NA,NA,NA,NA,NA
02231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7029,7053,7120,7149,6969,6931
02240,6173,5696,5612,5701,5970,6470,6758,6855,6824,6892,NA,NA,NA,NA,NA,NA
02261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9636,9678,9752,9736,9770,9488
02261,10220,10093,10037,9942,9895,9813,9715,9462,9332,9324,NA,NA,NA,NA,NA,NA
02270,7042,7088,7162,7286,7446,7455,7464,7583,7654,7731,NA,NA,NA,NA,NA,NA
02270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7459,7473,7662,7795,7952,8010
02275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2369,2366,2381,2398,2404,2364
02275,2454,2395,2316,2254,2178,2171,2168,2168,2185,2147,NA,NA,NA,NA,NA,NA
02280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,661,647,651,634,635
02282,801,799,749,729,711,677,658,675,650,685,NA,NA,NA,NA,NA,NA
02290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5588,5589,5733,5731,5654,5547
02290,6493,6385,6372,6305,6277,6070,5845,5811,5712,5627,NA,NA,NA,NA,NA,NA
04000,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,NA,NA,NA,NA,NA,NA
04001,69516,67857,67267,67938,67943,68250,69066,69278,69520,70591,NA,NA,NA,NA,NA,NA
04001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71518,71749,72354,72911,71867,71828
04003,118028,118573,119750,121175,123235,125637,126751,127736,128425,129518,NA,NA,NA,NA,NA,NA
04003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131346,131868,133058,131919,129744,127448
04005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134421,134603,134159,135949,136690,137682
04005,116717,117803,120390,121545,123349,124804,126029,127451,128426,129849,NA,NA,NA,NA,NA,NA
04007,51355,51165,51225,50906,50848,50914,51635,52231,52273,52199,NA,NA,NA,NA,NA,NA
04007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53597,53534,53469,53027,53063,53119
04009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37220,37139,37081,36945,37435,37957
04009,33541,33307,33120,32785,32441,32629,33286,34736,36204,37045,NA,NA,NA,NA,NA,NA
04011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8437,8343,8593,8775,8944,9346
04011,8542,8281,7706,7381,7307,7292,7465,7760,8058,8041,NA,NA,NA,NA,NA,NA
04012,19643,19537,19346,19516,19696,20007,20118,20133,20005,20012,NA,NA,NA,NA,NA,NA
04012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20489,20446,20443,20289,20331,20231
04013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3817117,3823609,3870076,3942868,4013164,4087191
04013,3097378,3200075,3299127,3391391,3502635,3647131,3776118,3872962,3958263,4023132,NA,NA,NA,NA,NA,NA
04015,156194,159840,165177,171019,178313,185940,192724,195852,195601,194825,NA,NA,NA,NA,NA,NA
04015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200186,200380,202642,203174,202855,203361
04017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107449,107649,107374,106973,107346,108101
04017,97876,98549,101358,103220,105020,106968,109000,110999,112348,112975,NA,NA,NA,NA,NA,NA
04019,848521,865694,886063,903320,924205,948965,975476,996593,1009832,1020200,NA,NA,NA,NA,NA,NA
04019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980263,981935,988125,993094,998050,1004516
04021,181283,188370,197830,208772,220724,237457,270453,302633,329060,340962,NA,NA,NA,NA,NA,NA
04021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375770,385738,384073,388106,390965,401918
04023,38542,38914,39288,39541,40177,41113,42040,42692,43133,43771,NA,NA,NA,NA,NA,NA
04023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47420,47384,47618,47433,47121,46695
04025,168886,173285,178390,183400,189532,197533,206672,212004,214930,215686,NA,NA,NA,NA,NA,NA
04025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211033,210517,211185,212509,215389,218844
04027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195751,197105,202617,202264,202033,203247
04027,160675,163167,166071,169297,174000,180194,185267,189181,193299,196972,NA,NA,NA,NA,NA,NA
05000,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,NA,NA,NA,NA,NA,NA
05001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19019,19009,18887,18994,18820,18594
05001,20672,20502,20263,19883,19863,19836,19655,19315,19146,18971,NA,NA,NA,NA,NA,NA
05003,24160,23823,23758,23478,23171,22783,22515,22258,22186,21941,NA,NA,NA,NA,NA,NA
05003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21853,21835,21655,21497,21252,20948
05005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41513,41551,41287,41077,40996,40857
05005,38465,38417,38642,38943,39546,40237,41155,41845,41946,42157,NA,NA,NA,NA,NA,NA
05007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221339,222923,227769,232739,237301,242321
05007,154791,160429,167038,174785,183211,192183,201509,210963,219494,225504,NA,NA,NA,NA,NA,NA
05009,34051,34253,34432,34507,34841,35408,35959,36653,36863,36821,NA,NA,NA,NA,NA,NA
05009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36903,36888,37040,37333,37389,37196
05011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11508,11489,11453,11298,11192,11148
05011,12603,12487,12438,12395,12268,12196,11986,11964,11899,11790,NA,NA,NA,NA,NA,NA
05013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5368,5330,5280,5299,5219,5202
05013,5717,5580,5605,5564,5484,5535,5526,5473,5324,5196,NA,NA,NA,NA,NA,NA
