fips,year,size
19113,pop2000,192307
19115,pop2000,12170
19117,pop2000,9405
19119,pop2000,11741
19121,pop2000,14058
19123,pop2000,22304
19125,pop2000,32101
19127,pop2000,39317
19129,pop2000,14555
19131,pop2000,10865
19133,pop2000,10003
19135,pop2000,8001
19137,pop2000,11791
19139,pop2000,41799
19141,pop2000,15066
19143,pop2000,6982
19145,pop2000,16917
19147,pop2000,10136
19149,pop2000,24849
19151,pop2000,8600
19153,pop2000,375963
19155,pop2000,87966
19157,pop2000,18834
19159,pop2000,5461
19161,pop2000,11474
19163,pop2000,158678
19165,pop2000,13070
19167,pop2000,31561
19169,pop2000,80127
19171,pop2000,18072
19173,pop2000,6978
19175,pop2000,12272
19177,pop2000,7817
19179,pop2000,36005
19181,pop2000,40778
19183,pop2000,20701
19185,pop2000,6725
19187,pop2000,40195
19189,pop2000,11743
19191,pop2000,21284
19193,pop2000,103822
19195,pop2000,7900
19197,pop2000,14313
20001,pop2000,14386
20003,pop2000,8090
20005,pop2000,16765
20007,pop2000,5287
20009,pop2000,28129
20011,pop2000,15382
20013,pop2000,10711
20015,pop2000,59675
20017,pop2000,3029
20019,pop2000,4347
20021,pop2000,22549
20023,pop2000,3156
20025,pop2000,2387
20027,pop2000,8812
20029,pop2000,10226
20031,pop2000,8893
20033,pop2000,1956
20035,pop2000,36252
20037,pop2000,38233
20039,pop2000,3458
20041,pop2000,19345
20043,pop2000,8235
20045,pop2000,100295
20047,pop2000,3425
20049,pop2000,3219
20051,pop2000,27455
20053,pop2000,6525
20055,pop2000,40602
20057,pop2000,32574
20059,pop2000,24851
20061,pop2000,27677
20063,pop2000,3067
20065,pop2000,2921
20067,pop2000,7878
20069,pop2000,5904
20071,pop2000,1540
20073,pop2000,7656
20075,pop2000,2658
20077,pop2000,6502
20079,pop2000,32877
20081,pop2000,4307
20083,pop2000,2084
20085,pop2000,12664
20087,pop2000,18442
20089,pop2000,3759
20091,pop2000,454644
20093,pop2000,4512
20095,pop2000,8677
20097,pop2000,3254
20099,pop2000,22737
20101,pop2000,2145
20103,pop2000,68921
20105,pop2000,3574
20107,pop2000,9599
20109,pop2000,3048
20111,pop2000,35965
20113,pop2000,29571
20115,pop2000,13377
20117,pop2000,10934
20119,pop2000,4622
20121,pop2000,28507
20123,pop2000,6911
20125,pop2000,36205
20127,pop2000,6113
20129,pop2000,3480
20131,pop2000,10684
20133,pop2000,16944
20135,pop2000,3440
20137,pop2000,5948
20139,pop2000,16758
20141,pop2000,4435
20143,pop2000,6189
20145,pop2000,7218
20147,pop2000,5994
20149,pop2000,18277
20151,pop2000,9629
20153,pop2000,2959
20155,pop2000,64691
20157,pop2000,5801
20159,pop2000,10732
20161,pop2000,63085
20163,pop2000,5663
20165,pop2000,3534
20167,pop2000,7353
20169,pop2000,53646
20171,pop2000,5096
20173,pop2000,453546
20175,pop2000,22545
20177,pop2000,170063
20179,pop2000,2794
20181,pop2000,6746
20183,pop2000,4515
20185,pop2000,4751
20187,pop2000,2402
20189,pop2000,5449
20191,pop2000,25947
20193,pop2000,8176
20195,pop2000,3292
20197,pop2000,6873
20199,pop2000,1740
20201,pop2000,6472
20203,pop2000,2518
20205,pop2000,10304
20207,pop2000,3763
20209,pop2000,157857
21001,pop2000,17285
21003,pop2000,17810
21005,pop2000,19184
21007,pop2000,8300
21009,pop2000,38118
21011,pop2000,11128
21013,pop2000,30041
21015,pop2000,87006
21017,pop2000,19364
21019,pop2000,49662
21021,pop2000,27703
21023,pop2000,8277
21025,pop2000,16061
21027,pop2000,18678
21029,pop2000,61633
21031,pop2000,13039
21033,pop2000,13039
21035,pop2000,34171
21037,pop2000,88659
21039,pop2000,5342
21041,pop2000,10162
21043,pop2000,26867
21045,pop2000,15481
21047,pop2000,72414
21049,pop2000,33223
21051,pop2000,24503
21053,pop2000,9629
21055,pop2000,9404
21057,pop2000,7163
21059,pop2000,91607
21061,pop2000,11654
21063,pop2000,6781
21065,pop2000,15309
21067,pop2000,261189
21069,pop2000,13856
21071,pop2000,42380
21073,pop2000,47848
21075,pop2000,7697
21077,pop2000,7884
21079,pop2000,14862
21081,pop2000,22545
21083,pop2000,37083
21085,pop2000,24116
21087,pop2000,11549
21089,pop2000,36832
21091,pop2000,8422
21093,pop2000,94295
21095,pop2000,32999
21097,pop2000,18025
21099,pop2000,17532
21101,pop2000,44816
21103,pop2000,15097
21105,pop2000,5248
21107,pop2000,46457
21109,pop2000,13511
21111,pop2000,694067
21113,pop2000,39206
21115,pop2000,23341
21117,pop2000,151683
21119,pop2000,17613
21121,pop2000,31846
21123,pop2000,13399
21125,pop2000,52918
21127,pop2000,15587
21129,pop2000,7919
21131,pop2000,12370
21133,pop2000,25217
21135,pop2000,14124
21137,pop2000,23464
21139,pop2000,9814
21141,pop2000,26601
21143,pop2000,8107
21145,pop2000,65440
21147,pop2000,17066
21149,pop2000,9977
21151,pop2000,71308
21153,pop2000,13317
21155,pop2000,18208
21157,pop2000,30121
21159,pop2000,12560
21161,pop2000,16786
21163,pop2000,26523
21165,pop2000,6595
21167,pop2000,20826
21169,pop2000,10020
21171,pop2000,11739
21173,pop2000,22663
21175,pop2000,13967
21177,pop2000,31796
21179,pop2000,37677
21181,pop2000,6784
21183,pop2000,22918
21185,pop2000,46981
21187,pop2000,10574
21189,pop2000,4863
21191,pop2000,14488
21193,pop2000,29287
21195,pop2000,68490
21197,pop2000,13280
21199,pop2000,56336
21201,pop2000,2264
21203,pop2000,16636
21205,pop2000,22070
21207,pop2000,16328
21209,pop2000,33407
21211,pop2000,33548
21213,pop2000,16413
21215,pop2000,11995
21217,pop2000,22917
21219,pop2000,11943
21221,pop2000,12633
21223,pop2000,8175
21225,pop2000,15601
21227,pop2000,92822
21229,pop2000,10915
21231,pop2000,19985
21233,pop2000,14113
21235,pop2000,35970
21237,pop2000,7095
21239,pop2000,23267
22001,pop2000,58817
22003,pop2000,25410
22005,pop2000,77335
22007,pop2000,23378
22009,pop2000,41480
22011,pop2000,33025
22013,pop2000,15728
22015,pop2000,98601
22017,pop2000,252013
22019,pop2000,183514
22021,pop2000,10579
22023,pop2000,9949
22025,pop2000,10903
22027,pop2000,16779
22029,pop2000,20212
22031,pop2000,25513
22033,pop2000,412919
22035,pop2000,9402
22037,pop2000,21365
22039,pop2000,35399
22041,pop2000,21245
22043,pop2000,18687
22045,pop2000,73234
22047,pop2000,33315
22049,pop2000,15381
22051,pop2000,454738
22053,pop2000,31398
22055,pop2000,190453
22057,pop2000,89974
22059,pop2000,14264
22061,pop2000,42510
22063,pop2000,92531
22065,pop2000,13707
22067,pop2000,30962
22069,pop2000,39097
22071,pop2000,483663
22073,pop2000,147266
22075,pop2000,26737
22077,pop2000,22756
22079,pop2000,126392
22081,pop2000,9598
22083,pop2000,20930
22085,pop2000,23495
22087,pop2000,66988
22089,pop2000,48160
22091,pop2000,10508
22093,pop2000,21179
22095,pop2000,43151
22097,pop2000,87711
22099,pop2000,48654
22101,pop2000,53256
22103,pop2000,192179
22105,pop2000,100826
22107,pop2000,6575
22109,pop2000,104461
22111,pop2000,22777
22113,pop2000,53966
22115,pop2000,52522
22117,pop2000,43890
22119,pop2000,41709
22121,pop2000,21564
22123,pop2000,12283
22125,pop2000,15136
22127,pop2000,16830
23001,pop2000,103845
23003,pop2000,73869
23005,pop2000,266058
23007,pop2000,29479
23009,pop2000,51862
23011,pop2000,117214
23013,pop2000,39684
23015,pop2000,33699
23017,pop2000,54802
23019,pop2000,144907
23021,pop2000,17244
23023,pop2000,35225
23025,pop2000,50893
23027,pop2000,36468
23029,pop2000,33886
23031,pop2000,188076
24001,pop2000,74804
24003,pop2000,491394
24005,pop2000,756037
24009,pop2000,75163
24011,pop2000,29828
24013,pop2000,151580
24015,pop2000,86464
24017,pop2000,121203
24019,pop2000,30586
24021,pop2000,196522
24023,pop2000,29824
24025,pop2000,219472
24027,pop2000,249599
24029,pop2000,19266
24031,pop2000,877363
24033,pop2000,803189
24035,pop2000,40765
24037,pop2000,86521
24039,pop2000,24718
24041,pop2000,33890
24043,pop2000,132101
24045,pop2000,84864
24047,pop2000,46772
24510,pop2000,648654
25001,pop2000,223245
25003,pop2000,134787
25005,pop2000,536008
25007,pop2000,15072
25009,pop2000,725379
25011,pop2000,71499
25013,pop2000,456573
25015,pop2000,152381
25017,pop2000,1468934
25019,pop2000,9574
25021,pop2000,651227
25023,pop2000,474414
25025,pop2000,691238
25027,pop2000,752684
26001,pop2000,11709
26003,pop2000,9827
26005,pop2000,106048
26007,pop2000,31276
26009,pop2000,23258
26011,pop2000,17263
26013,pop2000,8872
26015,pop2000,56903
26017,pop2000,110091
26019,pop2000,16106
26021,pop2000,162556
26023,pop2000,45874
26025,pop2000,138021
26027,pop2000,51118
26029,pop2000,26172
26031,pop2000,26570
26033,pop2000,38599
26035,pop2000,31381
26037,pop2000,64940
