fips,state_fips,county_fips,areaname,state_name,county_name,fipsst,fipsco,region,division,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop19904,pop20104,base20104,pop2010,pop2011,pop2012,pop2013,pop2014
13239,13,13239,"Quitman County, Georgia",Georgia,Quitman County,13,13239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2513,2513,2505,2459,2398,2366,2315
13239,13,239,Quitman County,Georgia,Quitman County,13,239,3,5,2180,2000,2100,2200,2200,2300,2300,2300,2300,2400,2357,2316,2309,2277,2190,2235,2189,2149,2192,2245,2212,2237,2245,2293,2346,2386,2459,2470,2488,2449,2603,2629,2584,2526,2520,2599,2641,2649,2685,2659,2210,NA,NA,NA,NA,NA,NA,NA
13241,13,241,Rabun County,Georgia,Rabun County,13,241,3,5,8327,8700,9000,9200,9300,9500,9800,9600,9700,10200,10466,10501,10683,10763,10770,10937,10991,11166,11441,11498,11698,11807,11900,12067,12241,12681,13046,13249,13380,13687,15085,15388,15554,15818,15935,16150,16329,16564,16666,16611,11648,NA,NA,NA,NA,NA,NA,NA
13241,13,13241,"Rabun County, Georgia",Georgia,Rabun County,13,13241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16276,16276,16258,16279,16307,16247,16243
13243,13,13243,"Randolph County, Georgia",Georgia,Randolph County,13,13243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7719,7719,7672,7579,7308,7185,7313
13243,13,243,Randolph County,Georgia,Randolph County,13,243,3,5,8734,8800,9000,9200,9100,9200,9400,9500,9700,9700,9599,9666,9480,9183,9018,8780,8511,8399,8302,8127,8022,8132,8082,8116,8076,8020,7956,7946,7954,8012,7757,7685,7583,7469,7432,7332,7345,7284,7156,7180,8023,NA,NA,NA,NA,NA,NA,NA
13245,13,245,Richmond County,Georgia,Richmond County,13,245,3,5,162437,160500,157600,154800,159800,163000,168200,170000,175000,179400,181629,181976,183190,184925,186940,189698,191775,189371,187739,188152,190442,194745,201734,195835,195976,194569,192397,191680,191374,190310,199663,199579,199092,198345,197895,196821,197172,197322,199311,199768,189719,NA,NA,NA,NA,NA,NA,NA
13245,13,13245,"Richmond County, Georgia",Georgia,Richmond County,13,13245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200549,200549,201015,200595,201966,201276,201368
13247,13,13247,"Rockdale County, Georgia",Georgia,Rockdale County,13,13247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85215,85215,85425,85601,85684,86815,87754
13247,13,247,Rockdale County,Georgia,Rockdale County,13,247,3,5,18152,19500,20700,24300,26600,28300,30000,31900,33400,35400,36570,37876,38639,39404,40876,42466,45169,48136,50083,52316,54648,56880,58786,60341,61905,64305,65389,66956,68278,68968,70566,71712,72987,74656,76330,77810,79605,81835,83400,84569,54091,NA,NA,NA,NA,NA,NA,NA
